,Model,Test Risk,Bias²,Variance,Bias² + Variance,Std(Predictions)
0,Logistic Regression,0.6590495431893969,0.11600133683950131,0.021022084962735683,0.137023421802237,0.14498994779892738
1,LDA,0.16880000000000003,0.021511111111111113,0.050666666666666665,0.07217777777777779,0.2250925735484551
2,QDA,0.47879999999999995,0.2055111111111111,0.34493333333333337,0.5504444444444445,0.5873102530463208
